1000
attribute_name  attribute_type
a-line                       3
abstract                     1
abstract chevron             1
abstract chevron print       1
abstract diamond             1
abstract floral              1
abstract floral print        1
abstract geo                 1
abstract geo print           1
abstract paisley             1
abstract pattern             1
abstract print               1
abstract printed             1
abstract stripe              1
acid                         2
acid wash                    2
americana                    5
angeles                      5
animal                       1
animal print                 1
ankle                        3
applique                     2
arrow collar                 4
art                          5
asymmetric                   3
asymmetrical                 3
asymmetrical hem             4
athletic                     5
audrey                       5
babe                         5
babydoll                     5
back bow                     4
back cutout                  4
back knit                    4
back lace                    4
back striped                 4
backless                     4
baja                         3
bandage                      3
bandana                      1
bandana print                1
barbie                       5
baroque                      1
baroque print                1
baseball                     5
basic                        5
basquiat                     5
batwing                      4
beach                        5
bead                         2
beaded                       2
beaded chiffon               2
beaded collar                4
beaded sheer                 2
beaded shift                 3
beatles                      5
bed                          5
bejeweled                    2
bell                         4
bell-sleeve                  4
bella                        5
belted                       4
belted chiffon               4
belted floral                4
belted floral print          4
belted lace                  4
belted maxi                  4
belted plaid                 4
bermuda                      3
bib                          3
big                          3
bike                         5
biker                        5
bird                         1
bird print                   1
blah                         5
bleach                       2
bleached                     2
bleached denim               2
blurred                      5
boat neck                    4
bodycon                      3
bodycon midi                 3
boho                         5
bold                         5
botanical                    1
botanical print              1
bow                          4
bow-back                     4
bow-front                    4
box                          3
box pleat                    3
box-pleated                  3
boxy                         3
boxy crop                    3
boxy knit                    3
boxy lace                    3
boxy pocket                  4
boxy striped                 1
boyfriend                    5
braided                      4
breton                       1
breton stripe                1
brocade                      2
brooklyn                     5
brooklyn nets                5
brushstroke                  1
brushstroke print            1
burnout                      2
bustier                      3
butterfly                    1
butterfly print              1
button                       4
button-front                 4
buttoned                     4
cable                        2
cable knit                   2
cable-knit                   2
caged                        3
california                   5
camera                       5
cami                         3
cami crop                    3
cami maxi                    3
camo                         1
camouflage                   1
candy                        5
canvas                       2
cap-sleeve                   4
capri                        3
cardio                       5
cargo                        3
cat                          5
chambray                     2
chambray drawstring          2
checked                      1
checkered                    1
cheetah                      1
chenille                     2                     
chevron                      1
chevron print                1
chic                         5
chiffon                      2   
chiffon floral               1
chiffon lace                 2
chiffon layered              2
chiffon maxi                 3
chiffon paneled              3  
chiffon pleated              3
chiffon shift                3
chiffon shirt                2
chiffon surplice             4
chiffon-paneled              3
chino                        2
chunky                       2
chunky knit                  2
cinched                      4
circle                       1
cities                       5
city                         5
civil                        5
clashist                     1
classic                      5
classic cotton               2
classic crew                 4
classic crew neck            4
classic denim                2
classic fit                  3
classic knit                 2
classic pocket               4
classic skinny               3
classic striped              1
classic v-neck               4
classic woven                2
clean                        2
clean wash                   2
cloud                        2
cloud wash                   2
coast                        5
coated                       2                       
coffee                       5
collar                       4
collar lace                  4
collared                     4
collarless                   4
collarless faux              4
colorblock                   1
colorblock pocket            4
colorblocked                 1
combo                        3
combo maxi                   3
contrast                     4
contrast trim                4
contrast-trimmed             4
convertible                  4
corduroy                     2
cotton                       2
cotton drawstring            2
cotton knit                  2
cotton-blend                 2
cover-up                     3
cowl                         4
cowl neck                    4
cozy                         3
crepe                        2
crepe shift                  3
crepe woven                  2
crew                         4
crew neck                    4
crinkled                     2
crisscross                   4
crisscross-back              4
crochet                      2
crochet crop                 3
crochet embroidered          2
crochet floral               1
crochet fringe               4
crochet knit                 2
crochet lace                 2
crochet maxi                 3
crochet mesh                 2
crochet overlay              2
crochet-paneled              3
crochet-trimmed              4
crocheted                    2
crocheted lace               2
crop                         3
cropped                      3
cropped knit                 3
cross-back                   4
crossback                    4
cuffed                       4
cuffed denim                 2
cuffed-sleeve                4
curved                       4
curved hem                   4
cut                          3
cute                         5
cutoff                       3
cutout                       3
cutout lace                  2
cutout maxi                  3
cutout sheath                3
cutout-back                  4
dainty                       5
daisy                        1
daisy print                  1
damask                       2       
daring                       5
dark                         5       
darling                      5
deep v-neck                  4
deep-v                       4
defyant                      5
denim                        2
denim drawstring             2
denim pencil                 3
denim shift                  3             
denim shirt                  2
denim skater                 3        
denim utility                2
desert                       5
destroyed                    5
devil                        5
